Ticker
AAUC:TSX
ABX:TSX
ACB:TSX
AEM:TSX
AFM:TSXV
AG:TSX
AGI:TSX
AGLD:TSXV
AII:TSX
ALK:TSX
ALT:TSXV
AMRQ:TSXV
APS:TSX
AQN:TSX
ARIS:TSX
ASM:TSX
ASTL.WT:TSX
ASTL:TSX
ATCU:TSX
ATS:TSX
AUM:TSXV
AUMN:TSX
AXL:TSXV
BAM:TSX
BB:TSX
BBU.UN:TSX
BBUC:TSX
BCE:TSX
BCM:TSXV
BCT:TSX
BEP.UN:TSX
BEPC:TSX
BHC:TSX
BIP.UN:TSX
BIPC:TSX
BITF:TSX
BLCO:TSX
BLDP:TSX
BMO:TSX
BN:TSX
BNS:TSX
BNT:TSX
BPYP.PR.A:TSX
BRAG:TSX
BTE:TSX
BTO:TSX
BZ:TSXV
CAE:TSX
CCO:TSX
CEF.U:TSX
CG:TSX
CGG:TSX
CGI:TSX
CIA:TSX
CIGI:TSX
CLS:TSX
CM:TSX
CNE:TSX
CNL:TSX
CNQ:TSX
CNR:TSX
CP:TSX
CRDL:TSX
CRON:TSX
CS:TSX
CSCI:TSX
CUSN:TSXV
CVE:TSX
CYG:TSXV
DAY:TSX
DCBO:TSX
DFSC:TSXV
DGX:TSXV
DML:TSX
DOO:TSX
DPM:TSX
DSG:TSX
ECOR:TSX
EDR:TSX
EDV:TSX
EFR:TSX
EFX:TSX
ELBM:TSXV
ELD:TSX
ELR:TSX
ELVA:TSX
EMA:TSX
EMN:TSXV
EMX:TSXV
ENB:TSX
EOG:TSXV
EPRX:TSX
EQX:TSX
ERO:TSX
EU:TSXV
FFM:TSX
FMN:TSXV
FNV:TSX
FO:TSXV
FRX:TSX
FSV:TSX
FTS:TSX
FURY:TSX
FVI:TSX
GAL:TSXV
GAU:TSX
GFL:TSX
GFR:TSX
GIB.A:TSX
GIL:TSX
GLXY:TSX
GOLD:TSX
GOOS:TSX
GPV:TSXV
GRT.UN:TSX
GRZ:TSXV
GSP:TSXV
GTE:TSX
HBM:TSX
HCH:TSXV
HITI:TSXV
HIVE:TSXV
HUT:TSX
IAU:TSX
IE:TSX
IMG:TSX
IMO:TSX
IPCO:TSX
ISO:TSX
ITH:TSX
ITR:TSXV
K:TSX
KCC:TSXV
KEI:TSX
LAC:TSX
LAM:TSX
LAR:TSX
LGO:TSX
LSPD:TSX
LUC:TSX
LUG:TSX
LUN:TSX
MARI:TSX
MER:TSX
MFC:TSX
MG:TSX
MKA:TSXV
MOGO:TSX
MSG:TSXV
MTA:TSXV
MUX:TSX
MX:TSX
NDM:TSX
NFG:TSXV
NG:TSX
NGD:TSX
NOA:TSX
NOU:TSX
NTR:TSX
NUAG:TSX
NVO:TSX
NXE:TSX
NZP:TSXV
OBE:TSX
ODV:TSXV
OGI:TSX
OLA:TSX
OMI:TSXV
OR:TSX
ORE:TSX
OTEX:TSX
OVV:TSX
PAAS:TSX
PD:TSX
PDN:TSX
PHYS.U:TSX
PLSR:TSXV
PMET:TSX
PML:TSXV
PPL:TSX
PPTA:TSX
PPX:TSXV
PRN:TSX
PRU:TSX
PSLV.U:TSX
PTM:TSX
PUMA:TSXV
QEC:TSX
QIPT:TSX
QSR:TSX
RBA:TSX
RBX:TSXV
RCI.B:TSX
REG:TSXV
RIO:TSX
RSM:TSXV
RTG:TSX
RY:TSX
SBI:TSX
SCZ:TSXV
SEA:TSX
SGML:TSXV
SGQ:TSXV
SHOP:TSX
SII:TSX
SKE:TSX
SLF:TSX
SLI:TSXV
SLR:TSX
SLS:TSX
SOBO:TSX
SOU:TSXV
SOY:TSX
SPPP.U:TSX
SSL:TSX
SSRM:TSX
SSV:TSXV
STC:TSX
STN:TSX
SU:TSX
SVM:TSX
SWA:TSXV
SXGC:TSX
T:TSX
TA:TSX
TAL:TSX
TC:TSX
TD:TSX
TECK.B:TSX
TFII:TSX
TFPM:TSX
THX:TSXV
TIXT:TSX
TK:TSXV
TKO:TSX
TLRY:TSX
TMQ:TSX
TRI:TSX
TRP:TSX
TRX:TSX
TSAT:TSX
TXP:TSX
URC:TSX
URE:TSX
USA:TSX
VBNK:TSX
VET:TSX
VGZ:TSX
VOXR:TSX
VZLA:TSX
WCN:TSX
WEED:TSX
WFG:TSX
WGX:TSX
WML:TSXV
WPM:TSX
WPRT:TSX
WRN:TSX
XRTX:TSXV
ZEN:TSXV
